文件名,公网IP地址/公网URL地址/域名/邮箱地址,用途说明
ait/components/debug/compare/Dockerfile,http://.*archive.ubuntu.com,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,http://repo.huaweicloud.com,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,http://ports.ubuntu.com,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,https://www.python.org/ftp/python/3.7.5/Python-3.7.5.tgz,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,https://repo.huaweicloud.com/repository/pypi/simple,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,https://gitee.com/ascend/ait.git,构建compare组件的docker安装镜像
ait/components/debug/compare/Dockerfile,https://pypi.tuna.tsinghua.edu.cn/simple/,构建compare组件的docker安装镜像
ait/components/debug/compare/setup.py,https://gitee.com/ascend/ait/tree/master/ait/components/debug/compare,用于compare组件打包成python包的主页说明
ait/components/debug/compare/tests/get_pth_resnet18_model.sh,https://download.pytorch.org/models/resnet18-f37072fd.pth,用于下载compare组件测试用例所需的开源模型
ait/components/debug/compare/tests/get_pth_resnet18_model.sh,https://gitee.com/ascend/ModelZoo-PyTorch/raw/master/ACL_PyTorch/built-in/cv/Resnet18_for_PyTorch/resnet18_pth2onnx.py,用于下载compare组件测试用例所需的开源模型
